averageVehicleSpeed;averageDistanceHeadway;percentageLongVehicles;vehicleFlow;occupancy
98;44;11;1080;7
123;64;0;360;1
104;255;40;300;3
112;120;0;840;4
97;72;10;1440;7
72;122;100;240;5
87;59;8;2100;6
95;83;57;960;12
109;136;10;660;6
99;95;0;780;5
118;108;0;240;1
101;86;0;1080;6
104;68;0;1320;7
87;94;8;780;6
95;66;54;780;10
31;43;19;660;24
86;80;0;1020;8
13;9;0;840;52
99;61;0;1620;10
101;77;34;360;3
89;48;8;1500;11
87;73;6;900;7
46;40;0;1020;10
57;151;0;420;3
125;232;0;60;0
110;107;7;960;6
116;238;0;480;3
87;71;7;1080;7
100;178;0;420;1
115;255;0;240;1
106;223;0;480;3
29;93;0;120;2
95;179;25;300;2
116;189;34;180;1
61;177;0;120;1
79;109;10;600;4
84;96;0;480;3
69;163;34;180;1
125;255;0;120;0
76;118;0;240;2
77;134;0;480;4
96;117;0;780;9
86;166;0;240;54
131;154;0;240;1
91;213;43;420;5
104;152;58;480;4
94;156;23;540;5
77;128;0;540;4
117;134;0;120;0
84;255;0;60;0
109;255;0;180;1
106;206;13;480;5
104;121;29;840;8
123;171;0;360;1
107;184;17;360;2
127;130;0;300;1
74;255;0;180;1
110;189;67;180;3
118;255;60;300;4
48;163;0;240;3
107;255;0;420;3
109;255;0;180;1
115;134;0;480;2
136;255;0;180;1
123;177;0;420;2
103;255;40;300;3
95;68;19;1080;12
97;118;0;840;6
103;129;28;660;6
89;90;60;600;8
118;98;8;840;4
92;120;0;720;5
103;110;0;960;6
89;63;5;1200;9
101;63;20;600;4
99;181;20;300;2
96;104;0;720;5
77;255;0;60;0
83;74;0;1140;9
94;80;23;1080;10
104;118;0;840;5
118;214;0;360;1
108;129;30;600;5
81;64;0;1260;10
74;122;0;480;4
97;48;7;1860;10
113;46;0;1860;8
101;103;46;780;9
126;255;0;180;1
116;141;0;960;5
89;34;14;900;7
97;196;0;240;1
122;194;0;420;2
81;90;24;780;8
28;56;15;420;11
126;165;0;300;1
108;108;0;900;5
100;75;0;900;5
90;255;0;60;0
100;255;0;60;0
124;255;0;240;0
70;71;0;360;3
109;236;15;420;3
107;219;0;480;3
130;125;0;120;1
43;255;0;60;1
100;154;58;420;4
125;196;0;360;1
109;255;0;60;0
103;124;38;480;4
110;255;0;420;3
113;255;0;60;0
83;151;17;360;3
86;84;0;1020;8
81;167;0;540;4
118;175;20;300;1
104;121;36;840;9
107;232;0;360;2
131;255;0;120;0
85;156;0;540;6
110;142;12;540;3
101;147;56;540;7
128;255;0;180;1
114;255;15;420;3
76;157;0;60;0
112;255;0;180;1
94;126;15;420;7
133;206;0;240;1
54;73;100;60;0
77;255;0;60;0
70;173;0;420;6
82;255;0;300;2
129;255;0;240;1
103;146;10;600;3
111;255;34;180;2
126;255;0;60;0
94;255;33;180;1
80;146;33;540;7
110;255;0;60;0
98;100;0;240;1
62;255;0;120;1
85;38;13;480;4
25;33;0;540;13
93;255;0;240;3
108;159;0;480;2
97;75;0;600;3
79;64;4;1320;8
74;104;7;840;7
125;255;0;60;0
104;84;0;900;4
84;96;19;720;5
75;180;15;420;5
105;113;0;780;4
87;87;7;960;6
105;224;20;300;2
97;166;0;300;1
101;255;50;240;3
119;43;0;360;1
99;113;8;780;5
101;117;46;660;7
108;255;0;120;1
65;43;0;420;4
91;173;23;540;5
42;64;0;600;8
110;81;7;900;6
124;255;0;120;1
74;147;0;240;1
109;255;34;360;3
111;151;0;300;1
99;138;12;540;4
83;255;0;120;0
112;255;0;360;2
114;255;17;360;2
88;69;0;1200;9
108;211;0;300;1
58;121;0;300;3
81;91;9;780;6
67;79;0;600;4
93;91;0;960;7
105;173;0;360;2
104;149;0;600;3
76;254;0;180;1
129;255;0;120;0
51;37;0;1140;12
76;99;16;720;6
38;31;0;480;6
117;112;0;600;3
129;242;0;240;0
105;116;36;840;7
111;116;0;960;4
91;75;67;1080;15
101;64;0;1680;7
99;126;37;660;7
106;255;50;240;3
71;182;20;300;3
132;145;0;240;1
116;255;0;60;0
75;255;0;60;0
147;255;0;60;0
112;157;23;540;4
117;133;20;600;3
89;102;91;660;10
117;202;0;240;1
116;202;14;420;1
109;113;8;840;4
86;77;32;960;10
102;149;34;540;4
115;147;0;660;4
125;145;0;120;0
121;134;0;420;2
89;74;12;1020;8
114;182;0;300;1
97;115;43;840;10
119;197;15;420;3
52;35;0;420;3
110;178;0;360;2
